Refs,value,Vendor,Vendor Part #,Price,datasheet,footprint
R32,27Ω,Mouser,603-RC1210FR-0727RL,0.14,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R33,15kΩ,Mouser,603-RC1210FR-0715KL,0.16,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R34,15kΩ,Mouser,603-RC1210FR-0715KL,0.16,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R41,27Ω,Mouser,603-RC1210FR-0727RL,0.14,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R42,27Ω,Mouser,603-RC1210FR-0727RL,0.14,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R43,15kΩ,Mouser,603-RC1210FR-0715KL,0.16,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R44,15kΩ,Mouser,603-RC1210FR-0715KL,0.16,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
SW1,RESET,Mouser,653-B3FS-1002P,0.58,https://www.mouser.com/datasheet/2/307/omron_B3FS-1189765.pdf,Omron:SW_SPST_Omron_B3FS-100xP
U1,TUSB2036,Mouser,595-TUSB2036VFR,3.4,http://www.ti.com/lit/ds/symlink/tusb2036.pdf,Package_QFP:LQFP-32_7x7mm_P0.8mm
U2,TPS76333,Mouser,595-PS76333QDBVRG4Q1,1,http://www.ti.com/lit/ds/symlink/tps763.pdf,Package_TO_SOT_SMD:SOT-23-5
U3,TPS2044D,Mouser,595-TPS2044BDR,2.73,http://www.ti.com/lit/ds/symlink/tps2044.pdf,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm
U4,SN75240,Mouser,595-SN75240PWR,1.31,http://www.ti.com/lit/ds/symlink/sn65220.pdf,Package_SO:TSSOP-8_4.4x3mm_P0.65mm
U5,SN75240,Mouser,595-SN75240PWR,1.31,http://www.ti.com/lit/ds/symlink/sn65220.pdf,Package_SO:TSSOP-8_4.4x3mm_P0.65mm
Y1,6MHz,Mouser,73-XT49M600-20,0.95,https://www.mouser.com/datasheet/2/427/xt49m-1763016.pdf,Crystal:Crystal_SMD_HC49-SD
C12,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
D10,VBUS,Mouser,604-AP3216ID,0.28,https://www.mouser.com/datasheet/2/216/ap3216id-1173252.pdf,LED_SMD:LED_1206_3216Metric
D20,5VA,Mouser,604-AP3216ID,0.28,https://www.mouser.com/datasheet/2/216/ap3216id-1173252.pdf,LED_SMD:LED_1206_3216Metric
D30,5VB,Mouser,604-AP3216ID,0.28,https://www.mouser.com/datasheet/2/216/ap3216id-1173252.pdf,LED_SMD:LED_1206_3216Metric
D40,5VC,Mouser,604-AP3216ID,0.28,https://www.mouser.com/datasheet/2/216/ap3216id-1173252.pdf,LED_SMD:LED_1206_3216Metric
LOGO1,Logo_Open_Hardware_Small,-,-,0,-,Symbol:OSHW-Logo2_9.8x8mm_SilkScreen
